Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
W01w_Waist_SoB_2_Circ_Width_105w,28.85,28.78,28.59,28.72,28.75,28.75,W01w_Waist_SoB_2_Circ_Width_105w,28.85,28.77,28.59,28.72,28.75,28.75,W01w_Waist_SoB_2_Circ_Width_105w,0
W01h_Waist_SoB_2_Circ_Height_105h,108.76,109.18,109.91,109.94,109.4,109.4,W01h_Waist_SoB_2_Circ_Height_105h,108.76,109.18,109.91,109.94,109.4,109.4,W01h_Waist_SoB_2_Circ_Height_105h,0
W01zf_Waist_Z_Point_Fr,8.24,8.9,8.63,8.96,8.58,8.63,W01zf_Waist_Z_Point_Fr,8.24,8.9,8.48,8.57,8.5,8.5,W01zf_Waist_Z_Point_Fr,-0.13
W01zb_Waist_Z_Point_Bk,-11.29,-10.96,-11.1,-10.94,-11.22,-11.1,W01zb_Waist_Z_Point_Bk,-11.29,-10.96,-11.1,-10.94,-11.22,-11.1,W01zb_Waist_Z_Point_Bk,0
W01xly_Waist_Side_Seam_Uplift_Left,0.64,0.47,0.46,0.5,0.45,0.47,W01xly_Waist_Side_Seam_Uplift_Left,0.64,0.47,0.46,0.5,0.45,0.47,W01xly_Waist_Side_Seam_Uplift_Left,0
W01xry_Waist_Side_Seam_Uplift_Right,0.87,0.6,0.61,0.66,0.7,0.66,W01xry_Waist_Side_Seam_Uplift_Right,0.87,0.6,0.61,0.66,0.7,0.66,W01xry_Waist_Side_Seam_Uplift_Right,0
W01xhl_Waist_Outside_Leg_Left,109.41,109.65,110.37,110.44,109.86,109.86,W01xhl_Waist_Outside_Leg_Left,109.41,109.65,110.37,110.44,109.85,109.85,W01xhl_Waist_Outside_Leg_Left,-0.01
W01xhr_Waist_Outside_Leg_Right,109.63,109.78,110.52,110.61,110.1,110.1,W01xhr_Waist_Outside_Leg_Right,109.63,109.78,110.51,110.61,110.1,110.1,W01xhr_Waist_Outside_Leg_Right,0
W01yhl_Side_back_waist_to_floor_L,102.62,102.81,103.29,103.79,102.72,102.81,W01yhl_Side_back_waist_to_floor_L,102.62,102.81,103.24,103.75,103.08,103.08,W01yhl_Side_back_waist_to_floor_L,0.27
W01yhr_Side_back_waist_to_floor_R,102.49,102.67,103.18,103.7,102.6,102.67,W01yhr_Side_back_waist_to_floor_R,102.49,102.67,103.13,103.65,102.97,102.97,W01yhr_Side_back_waist_to_floor_R,0.3
W02c_Waist_C80_Cr_to_SoB2_CircTM,83.02,83.24,82.99,83.09,83.16,83.09,W02c_Waist_C80_Cr_to_SoB2_CircTM,83.02,83.24,83,83.09,83.14,83.09,W02c_Waist_C80_Cr_to_SoB2_CircTM,0
A01c_Abdomen_Circ_TM_084c,91.86,93.54,83.52,82.93,91.54,91.54,A01c_Abdomen_Circ_TM_084c,91.86,93.54,83.6,82.98,91.54,91.54,A01c_Abdomen_Circ_TM_084c,0
A01f_Abdomen_Circ_Fr_Arc_084f,42.19,44,39.19,39.12,42,42,A01f_Abdomen_Circ_Fr_Arc_084f,42.19,44,39.19,39.1,42,42,A01f_Abdomen_Circ_Fr_Arc_084f,0
A01b_Abdomen_Circ_Bk_Arc_084b,49.49,49.31,44.21,43.67,49.33,49.31,A01b_Abdomen_Circ_Bk_Arc_084b,49.49,49.31,44.28,43.74,49.33,49.31,A01b_Abdomen_Circ_Bk_Arc_084b,0
A01d_Abdomen_Circ_Depth_084d,23.48,23.05,21.67,21.45,23.4,23.05,A01d_Abdomen_Circ_Depth_084d,23.48,23.05,21.69,21.46,23.4,23.05,A01d_Abdomen_Circ_Depth_084d,0
A01w_Abdomen_Circ_Width_084w,32.98,33.56,29.62,29.52,32.83,32.83,A01w_Abdomen_Circ_Width_084w,32.98,33.56,29.64,29.54,32.83,32.83,A01w_Abdomen_Circ_Width_084w,0
A01h_Abdomen_Circ_Height_084h,91.12,88.73,99.16,99.71,91.69,91.69,A01h_Abdomen_Circ_Height_084h,91.12,88.73,99.11,99.66,91.69,91.69,A01h_Abdomen_Circ_Height_084h,0
A01zf_Abdomen_Z_Point_Fr_084zf,7.83,8.18,8,8.17,7.82,8,A01zf_Abdomen_Z_Point_Fr_084zf,7.83,8.18,7.99,8.16,7.82,7.99,A01zf_Abdomen_Z_Point_Fr_084zf,-0.01
A01zb_Abdomen_Z_Point_Bk_084zb,-15.65,-14.87,-13.67,-13.28,-15.57,-14.87,A01zb_Abdomen_Z_Point_Bk_084zb,-15.65,-14.87,-13.69,-13.3,-15.57,-14.87,A01zb_Abdomen_Z_Point_Bk_084zb,0
S01c_Seat_CircTM_086c,92.55,94.16,92.43,92.07,92.14,92.43,S01c_Seat_CircTM_086c,92.55,94.16,92.43,92.07,92.14,92.43,S01c_Seat_CircTM_086c,0
S01f_Seat_Circ_Fr_Arc_086f,42.97,44.59,42.85,42.51,42.92,42.92,S01f_Seat_Circ_Fr_Arc_086f,42.97,44.59,42.85,42.51,42.92,42.92,S01f_Seat_Circ_Fr_Arc_086f,0
S01b_Seat_Circ_Bk_Arc_086b,49.51,49.51,49.51,49.51,49.17,49.51,S01b_Seat_Circ_Bk_Arc_086b,49.51,49.51,49.51,49.51,49.17,49.51,S01b_Seat_Circ_Bk_Arc_086b,0
S01d_Seat_Circ_Depth_086d,24.34,24.4,24.23,24.29,24.24,24.29,S01d_Seat_Circ_Depth_086d,24.34,24.4,24.23,24.29,24.24,24.29,S01d_Seat_Circ_Depth_086d,0
